"","year","country.x","TOTAL","TAX","SPEND","DTOTALE","DTAXE","DSPENDE","ccode","WAGESH","NPINV","PDEBT","RYIELD","RGROWTH","INFL","UNEM","OGAP","ACTPOPG","RGDPGR","GPINVB","RGDPB","COMNGCONS","COMNGINV","country.y","gini_disp","gini_mkt","country.x.x","iso","ifs","pop","gdp","iy","cpi","ca","imports","exports","narrowm","money","stir","ltrate","hpnom","unemp","wage","debtgdp","revenue","expenditure","xrusd","tloans","tmort","thh","tbus","bdebt","lev","ltd","noncore","crisisJST","crisisJST_old","peg","peg_strict","peg_type","peg_base","JSTtrilemmaIV","eq_tr","housing_tr","bond_tr","bill_rate","rent_ipolated","housing_capgain_ipolated","housing_capgain","housing_rent_rtn","housing_rent_yd","eq_capgain","eq_dp","eq_capgain_interp","eq_tr_interp","eq_dp_interp","bond_rate","eq_div_rtn","capital_tr","risky_tr","safe_tr","country.y.y","ginv","pinv","ginv_nom","pinv_nom","RGCONS","NGCONS","SOCPR","HEALTH","EDUC","PUBSERV","OTHER","DEFSAFE","HOUS","ENVIR","ECAFF","ORDER","DEF","RECR","CAPB","change_CAPB","sum_spillover_total","sum_spillover_tax","sum_spillover_spend","GREXPART","banking_crisis","V1","sum_spillover_CAPB","approval","Country","STRIKE","GOVCRISIS","RIOTS","DEMONSTR","lrgov","TOPTEN","BOTTOMFIFTY","TOPBOTTOM","log_TOPBOTTOM","log_ginv","log_pinv","log_RGCONS","RATIOINVCONS","CONSRATIOINVCONS","log_DEFSAFE","log_EDUC","log_HEALTH","log_OTHER","log_PUBSERV","log_SOCPR","log_APPROV","log_WAGESH"
"1","1978","Australia",0,0,0,0,0,0,"AUS",NA,NA,NA,1.054239846,NA,NA,NA,NA,NA,NA,NA,523.004,NA,NA,"Australia",26.1,39.1,"Australia","AUS",193,14248.6,104920,0.225968549,38.16457,-3875.706218,13591.4,12591,11266,48245.05,8.646666667,9.06,28.79610358,6.2,37.90733087,22.3799,27173,28700,0.869187311,25043,8886.55,11443,13600,45494.34766,3.144479752,69.17694855,16.90629959,0,0,1,0,"PEG","USA",1.1950001,0.242999986,0.108375296,0.139865175,0.08646667,NA,NA,0.054280851,0.054094445,0.051309332,0.175999999,0.056972791,NA,NA,NA,0.090599999,0.067000002,0.122658297,0.123746201,0.113165922,"Australia",9.118,53.467,4.306,25.248,80.738732812,21.130620734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008177017,0.008177017,0,0,0,1,0,45.7533,"Australia",0,0,0,0,9,0.24,0.1991,1.2054244098443,0.186831712271841,2.21025048179125,3.97906464115884,4.39121842062737,0.203780099704855,NA,NA,NA,NA,NA,NA,NA,3.82326392026775,NA
"2","1979","Australia",0,0,0,0,0,0,"AUS",NA,NA,NA,0.636327318,NA,NA,NA,NA,NA,NA,NA,538.881,NA,NA,"Australia",26.7,39.5,"Australia","AUS",193,14421.9,118587,0.224540292,41.63373,-2338.30846,16279,16710.9,13146,57232,8.876666667,9.749166667,30.76016903,5.8,40.94191864,22.8866,29664,31800,0.90456807,29029,10194.3,13285.3,15743.7,53063.58984,4.045458794,69.92879486,18.24375343,0,0,1,0,"PEG","USA",1.63,0.389999986,0.124294177,0.007620514,0.088766664,NA,NA,0.068207152,0.056087028,0.052505761,0.319999993,0.053030305,NA,NA,NA,0.097491667,0.07,0.151545808,0.163616836,0.048193589,"Australia",8.889,57.631,4.481,29.05,83.410272933,23.421560832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03627685,0.011354977,0.024921872,0,0,2,0.0186876124768421,39.397709,"Australia",0,0,0,1,9,0.2443,0.1975,1.23696202531646,0.212658393922518,2.18481455725954,4.0540606173716,4.42377147843376,0.191319444171192,NA,NA,NA,NA,NA,NA,NA,3.67370766740515,NA
"3","1980","Australia",0,0,0,0,0,0,"AUS",NA,NA,19.12719866,1.515824517,2.9,"10.136",6.133,"1.966",NA,NA,NA,556.879,NA,NA,"Australia",27.3,39.9,"Australia","AUS",193,14615.9,134424,0.23559319,45.8498,-3383.97436,19632,19268.6,14843,65457,10.6675,11.6475,36.29317832,6.1,44.89014575,21.3488,34584,36400,0.846955197,32149,11690.8,15578.2,16570.8,62787.32813,4.234001637,71.57967377,18.48118019,0,0,1,0,"PEG","USA",1.08,0.523000002,0.235666126,-0.042508058,0.106674999,NA,NA,0.179875299,0.055790827,0.047285359,0.458000004,0.044581618,NA,NA,NA,0.116475001,0.064999998,0.263257146,0.286431879,0.03208347,"Australia",8.333,63.39,4.575,34.803,85.293248108,25.819498607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.043554697,0.036068354,0.007486344,0,0,3,0.0877627526121053,45.290009,"Australia",0,0,0,0,9,0.2485,0.1955,1.27109974424552,0.239882466111263,2.12022353540007,4.14930612029607,4.44609529671058,0.177191667027944,NA,NA,NA,NA,NA,NA,NA,3.81308645628747,NA
"4","1981","Australia",0,0,0,0,0,0,"AUS",NA,NA,16.97338417,4.499834157,4.1,"9.488",5.783,"3.472",NA,NA,NA,575.396,NA,NA,"Australia",27.9,40.3,"Australia","AUS",193,14923.26,152143,0.247994759,50.29345,-6649.81911,22824,18686,16627,72752,13.25083333,13.95833333,41.6886266,5.7836,50.77659343,18.9447,40727,41400,0.886603423,37275,12901.1,17985.4,19289.6,75717.61719,4.346083641,70.96505737,19.49754715,0,0,1,0,"PEG","USA",1.52,-0.108000003,0.202580303,-0.003373264,0.132508337,NA,NA,0.148661464,0.053918835,0.04694058,-0.143999994,0.042056073,NA,NA,NA,0.139583334,0.035999998,0.149769574,0.157206163,0.064567536,"Australia",8.024,71.687,4.779,42.698,89.167534017,31.504702194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16583485,0.145390902,0.020790084,0.309292843,0,4,0.0230728585084211,42.35236,"Australia",0,0,0,0,9,0.2479,0.195,1.27128205128205,0.240025880477398,2.08243705065963,4.27230942014861,4.4905170049141,0.151691641792765,NA,NA,NA,NA,NA,NA,NA,3.74602414563751,NA
"5","1982","Australia",0,0,0,0,0,0,"AUS",NA,NA,15.57752602,3.994009253,0.1,"11.352",7.183,"1.088",NA,NA,NA,562.596,NA,NA,"Australia",27.4,40.6,"Australia","AUS",193,15162,175615,0.240586645,55.89891,-7548.35627,26210,21032,16895,81035,14.6425,15.375,44.09594417,7.1626,57.11333478,17.3873,47388,49000,1.019783807,40586,14150.9,20254.5,20331.5,92309.23438,4.184784889,72.0460968,23.03486633,0,0,1,0,"PEG","USA",-2.075,-0.152999997,0.115725592,0.193352148,0.146424994,NA,NA,0.057744805,0.057980787,0.054815479,-0.197000012,0.05479452,NA,NA,NA,0.153750002,0.044,0.089715041,0.082591519,0.169888571,"Australia",7.961,70.393,5.237,46.309,90.508094425,34.421273309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.186495206,0.078173817,0.108321389,-0.375095013,0,5,0.0563699985947368,42.271679,"Australia",0,0,0,1,9,0.2509,0.1917,1.30881585811163,0.269122803320778,2.07455462010644,4.25409382640214,4.50543928786648,0.152144284523917,NA,NA,NA,NA,NA,NA,NA,3.74411733463205,NA
"6","1983","Australia",0,0,0,0,0,0,"AUS",NA,NA,16.92679584,4.073589685,-0.5,"10.039",9.967,"-2.058",NA,NA,NA,588.429,NA,NA,"Australia",27.5,41,"Australia","AUS",193,15348,189157,0.220460721,61.55228,-6258.48005,23839,22306,17881,92562,11.06083333,13.8875,46.42683897,9.9614,63.51533609,18.8926,52001,57000,1.10864745,45456,16124.4,23937.8,21518.2,105941.9766,3.857435226,73.34494781,25.34790039,0,0,0,0,"FLOAT","USA",0,0.637000024,0.102485329,0.157296851,0.110608332,NA,NA,0.052859791,0.049625538,0.047134042,0.565999985,0.045338441,NA,NA,NA,0.138874993,0.070999995,0.182214648,0.18674995,0.133952588,"Australia",8.725,64.538,6.117,45.249,92.809672301,33.064363672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.144316956,0.034178045,0.111902199,0.609525289,0,6,0,59.460361,"Australia",1,0,0,2,2.512,0.2483,0.1945,1.27660668380463,0.24420552945562,2.16619246808849,4.16725419760942,4.53055086174232,0.18500280424813,NA,NA,NA,NA,NA,NA,NA,4.08530988885996,NA
"7","1984","Australia",0,0,0,0,0,0,"AUS",NA,NA,18.24022847,9.872936976,6.3,"3.96",8.967,"0.159",NA,NA,NA,619.49,NA,NA,"Australia",27.5,41.4,"Australia","AUS",193,15510,213378,0.229494982,63.98371,-9297.2035,29560,26366,19180.31142,105399,10.985,13.525,52.37253127,8.9868,68.92538612,20.3591,56912,65200,1.208021261,54327,18756.4,28917.9,25409.1,119802.6641,4.230685711,74.32318115,27.93217087,0,0,0,0,"FLOAT","USA",0,0.005,0.18508856,0.138671726,0.109849997,NA,NA,0.128066123,0.057022434,0.05054884,-0.037,0.043613706,NA,NA,NA,0.135250002,0.041999999,0.156040356,0.159314722,0.124260858,"Australia",10.179,70.443,7.423,51.37,97.135724856,35.446997497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.038589996,0.003790465,0.034799531,0.317965041,0,7,0,71.226768,"Australia",0,0,0,1,1,0.253,0.1943,1.30211013896037,0.263986132344126,2.3203267744702,4.25480387215892,4.57610922581941,0.209411248459851,NA,NA,NA,NA,NA,NA,NA,4.26586870282072,NA
"8","1985","Australia",0.45,0,0.45,1,0,1,"AUS",NA,NA,19.70686504,7.3694712,5.5,"6.735",8.258,"1.498",NA,NA,NA,644.057,NA,NA,"Australia",28.5,42.1,"Australia","AUS",193,15695,234973,0.242720713,68.2956,-12111.2229,37054,32408,20596.49212,120667,15.42,13.95416667,57.23302009,8.2581,73.63062867,21.9957,66458,71700,1.468644441,69214,23799.9,36007.4,33206.6,144379.9531,5.078046799,78.73168182,28.46592522,0,0,0,0,"FLOAT","USA",0,0.420999974,0.149866089,0.056325641,0.154200003,NA,NA,0.092806339,0.05705975,0.052213963,0.364000022,0.041788861,NA,NA,NA,0.139541671,0.057000007,0.189341366,0.198222786,0.105262823,"Australia",10.933,78.834,8.561,61.727,106,34.767441058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.047625124,0.022112057,0.025513067,0.003778925,0,8,0,62.521599,"Australia",0,0,0,0,1,0.2552,0.1927,1.32433834976648,0.280912976050314,2.39178573845235,4.36734437588774,4.66343909411207,0.246236126084698,NA,NA,NA,NA,NA,NA,NA,4.13551208104196,NA
"9","1986","Australia",1.02,0.17,0.85,0,1,0,"AUS",NA,NA,20.97639713,4.507980948,2.4,"9.05",8.117,"0.911",NA,NA,NA,660.561,NA,NA,"Australia",28.5,42.3,"Australia","AUS",193,15900,260242,0.232350004,74.49994,-13704.61092,39033,33716,23232.06627,131643,15.38666667,13.41666667,61.37513478,8.0806,77.98564281,23.4131,75000,77500,1.504211793,81353,28079.2,39960.4,41392.6,187109.4063,5.16801405,83.82770538,35.20765305,0,0,0,0,"FLOAT","USA",0,0.510999978,0.134558111,0.221346051,0.153866664,NA,NA,0.072372586,0.062185533,0.057988737,0.457000017,0.037062459,NA,NA,NA,0.134166673,0.054000001,0.241263479,0.246688783,0.187606364,"Australia",11.886,77.413,10.138,66.029,110,35.446978176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036131968,0.013496367,0.022635601,-0.418422091,0,9,0.0838953373168421,57.363861,"Australia",1,0,0,0,1,0.2629,0.1889,1.39174166225516,0.330555957228372,2.47536123694447,4.34915472514854,4.70048036579242,0.286004633446134,NA,NA,NA,NA,NA,NA,NA,4.04941450574151,NA
"10","1987","Australia",0.9,0.19,0.71,0,0,0,"AUS",NA,NA,19.76778824,4.933645551,4.9,"8.533",8.108,"1.797",NA,NA,NA,698.569,NA,NA,"Australia",29,42.7,"Australia","AUS",193,16137,285706,0.230163859,80.82405,-10324.09472,41816,37947,28123.38942,148219,12.79833333,13.19166667,64.44389152,8.1064,82.81487927,22.0637,83500,82300,1.384083045,94828,35430.5,47582.2,47245.8,231508.9688,5.401523113,88.2623291,39.03450012,0,0,0,0,"FLOAT","USA",0,-0.096000001,0.106478825,0.160095215,0.127983332,NA,NA,0.050000735,0.056478094,0.053788625,-0.121000007,0.028441411,NA,NA,NA,0.131916672,0.025,0.049734671,0.040692914,0.144039273,"Australia",11.393,82.025,10.321,74.309,114,36.698650079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.040301178,0.016435949,0.023865229,0.324324159,0,10,0.223091910418421,58.268841,"Australia",0,0,0,0,1,0.2787,0.1826,1.526286966046,0.422837966327034,2.43299913171598,4.40702407884717,4.7361984483945,0.281236502644711,NA,NA,NA,NA,NA,NA,NA,4.0650674907907,NA
"11","1988","Australia",0.1,-0.27,0.37,0,0,0,"AUS",NA,NA,22.23607399,5.680210016,4.3,"7.27",7.209,"2.002",NA,NA,NA,725.664,NA,NA,"Australia",29.4,43.1,"Australia","AUS",193,16400,323892,0.239688406,86.66906,-13182.46545,45925,42369,33305.1671,173005,12.14166667,12.10416667,78.97486937,7.2258,87.82901893,24.8187,91200,87900,1.168907072,120127,44388.6,56949.8,63177.2,283200.5,6.379394531,93.04239655,43.31970215,0,0,0,0,"FLOAT","USA",0,0.21100001,0.281998694,0.118843563,0.121416666,NA,NA,0.225482941,0.056515742,0.046117119,0.160999998,0.043066319,NA,NA,NA,0.121041663,0.049999997,0.251592219,0.266207576,0.120130114,"Australia",10.297,91.191,9.861,87.33,118,43.591859186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.054810527,0.01733233,0.037478198,0.501438736,0,11,0,57.130199,"Australia",0,0,0,0,1,0.2948,0.1783,1.65339315759955,0.502829635446087,2.33185259067461,4.51295620800015,4.77068462446567,0.226211962144688,NA,NA,NA,NA,NA,NA,NA,4.04533285601404,NA
"12","1989","Australia",0,0,0,0,0,0,"AUS",NA,NA,17.019,5.319678715,4.6,"7.58",6.154,"4.644",NA,NA,NA,751.637,NA,NA,"Australia",29.8,43.5,"Australia","AUS",193,16681,367526,0.252906884,93.22074,-23336.1689,56801,47005,36214.00913,207473.9605,16.8,13.40833333,98.43244588,6.175,93.76767457,22.77,91200,98900,1.261511291,174395.1965,52916,84450.1,89945.1,316398,6.310995102,102.049057,40.92165756,1,1,0,0,"FLOAT","USA",0,0.17899999,0.294271737,0.134729996,0.167999998,NA,NA,0.246375754,0.047895979,0.038428202,0.113000005,0.059299186,NA,NA,NA,0.134083331,0.065999992,0.261070848,0.271376938,0.151364997,"Australia",11.55,99.54,11.64,100.322,122,53.328371772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.28,NA,0.006484051,0.004859632,0.001715044,-0.482335025,0,12,0.00931003899473686,51.110771,"Australia",0,0,0,1,1,0.2753,0.1865,1.47613941018767,0.389430173064691,2.4466854369678,4.60055957343041,4.80402104473326,0.218270305528277,NA,NA,NA,NA,NA,NA,NA,3.93399525777695,NA
"13","1990","Australia",0,0,0,0,0,0,"AUS",NA,NA,16.41,4.837148857,1.5,"7.233",6.947,"3.563",NA,NA,NA,748.766,NA,NA,"Australia",29.2,43.7,"Australia","AUS",193,16956,403852,0.230713016,100,-20036.65332,53785.08,50892,38942.39124,229475.8015,14.15083333,13.18,100,6.926,100,21.5777,93300,105000,1.293159188,200876.8009,66528,94159.9,106717,338858,6.175625324,106.7964859,40.90285492,0,0,0,0,"FLOAT","USA",0,-0.152999997,0.065885991,0.180668533,0.141508326,NA,NA,0.015925651,0.049960338,0.049177159,-0.201000005,0.060075093,NA,NA,NA,0.131799996,0.048,0.043667853,0.032469742,0.161088437,"Australia",11.591,92.364,12.034,95.891,125,54.940581587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93,-0.35,0.028943626,0.021670586,0.00727304,-0.23366168,0,13,0,47.415249,"Australia",0,0,0,0,1,0.269,0.1881,1.4300903774588,0.357737643294855,2.45022893490661,4.52573729234018,4.8283137373023,0.219036632893007,NA,NA,NA,NA,NA,NA,NA,3.85894388582459,NA
"14","1991","Australia",0,0,0,0,0,0,"AUS",NA,NA,21.606,6.082776327,-1,"3.307",9.606,"-0.113",NA,NA,NA,751.969,NA,NA,"Australia",29.1,44,"Australia","AUS",193,17202,414473,0.212513009,103.2227,-13649.31288,53427,53728,41538.43608,234016.7225,9.955833333,10.69083333,100.6285171,9.5792,105.862519,22.9141,87400,109000,1.316135825,216745.8512,74377,101070,115675,326227,6.159018993,113.4994125,42.365242,0,0,0,0,"FLOAT","USA",0,0.275000006,0.05484708,0.2986027,0.099558331,NA,NA,0.00629,0.04855708,0.048253566,0.222000003,0.043371521,NA,NA,NA,0.106908336,0.052999999,0.105854176,0.096960947,0.199080512,"Australia",12.524,81.537,12.987,84.547,129,60.735204898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,-0.66,0.081118683,0.051196669,0.029922014,-0.520985406,0,14,0.0836528554194736,42.537971,"Australia",0,0,0,0,1,0.2959,0.1876,1.5772921108742,0.45570952283404,2.52764680346416,4.40105690495563,4.85981240436167,0.213829854065869,NA,NA,NA,NA,NA,NA,NA,3.75039711234874,NA
"15","1992","Australia",0,0,0,0,0,0,"AUS",NA,NA,27.625,7.971171019,2.6,"0.969",10.755,"-0.35",NA,NA,NA,782.387,NA,NA,"Australia",29.1,44.4,"Australia","AUS",193,17419,422433,0.210331113,104.2404,-14103.48288,59732,58363,49925.52566,243383.9018,6.265,9.22,103.171819,10.7288,108.9297368,27.1514,88600,116000,1.4522219,224286.1866,91246,118249,106038,328532,6.162067413,116.1541595,42.07672501,0,0,0,0,"FLOAT","USA",0,-0.022,0.070633188,0.132090658,0.062650003,NA,NA,0.025271045,0.045362145,0.044244051,-0.059999999,0.040425528,NA,NA,NA,0.092200004,0.037999995,0.057485133,0.053057715,0.097370327,"Australia",12.815,84.308,13.148,86.501,132,63.464682711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.81,-1.08,0.088227136,0.028865232,0.059361904,-0.202230356,0,15,0,38.992748,"Australia",1,0,0,0,1,0.2926,0.1914,1.52873563218391,0.42444100956717,2.55061635981603,4.4344767596748,4.88280192258637,0.20717034165084,NA,NA,NA,NA,NA,NA,NA,3.66337568012109,NA
"16","1993","Australia",0,0,0,0,0,0,"AUS",NA,NA,30.666,4.927809762,3.9,"1.752",10.881,"0.538",NA,NA,NA,813.524,NA,NA,"Australia",29,44.7,"Australia","AUS",193,17608,443383,0.212657354,106.1304,-13630.43698,67027,62839,58870.32233,258217.3071,5.001666667,7.280833333,106.0659212,10.8738,111.1551012,30.3218,93100,122000,1.476886723,240741.1654,109835,136751,103991,315729,6.339934349,112.6208801,39.44102478,0,0,0,0,"FLOAT","USA",0,0.40456143,0.07173951,0.25285846,0.050016668,NA,NA,0.028050246,0.043689266,0.04249721,0.355043709,0.036543254,NA,NA,NA,0.072808333,0.049517706,0.156636193,0.15723151,0.151437566,"Australia",13.487,88.63,14.132,92.868,136,60.479201799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.72,0.0900000000000001,0.083228335,0.024496314,0.058147949,-0.277355309,0,16,0,38.036949,"Australia",0,0,0,0,1,0.2988,0.1878,1.59105431309904,0.4643968864845,2.60172625853472,4.48447040075031,4.91265488573605,0.233667105048229,NA,NA,NA,NA,NA,NA,NA,3.63855802941327,NA
"17","1994","Australia",0.25,0.25,0,1,1,0,"AUS",NA,NA,31.709,8.11298073,4.9,"1.927",9.714,"-0.881",NA,NA,NA,845.114,NA,NA,"Australia",28.9,45.1,"Australia","AUS",193,17781,465753,0.227196866,108.1415,-21557.09712,72882,64917,65365.16076,283445.1861,5.694166667,9.041666667,109.837024,9.7187,114.3680661,31.4529,105000,128000,1.28733268,270676.8052,135757,162973,107704,319771,7.1604352,113.9193573,39.21982574,0,0,0,0,"FLOAT","USA",0,-0.088101856,0.078320369,-0.124451399,0.056941666,NA,NA,0.035553336,0.042767033,0.041298725,-0.121487953,0.038003005,NA,NA,NA,0.09041667,0.033386096,0.031997181,0.039903462,-0.033754867,"Australia",14.823,101.253,15.5,105.871,137,60.72915946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.56,0.16,0.128923355,0.051241089,0.077682265,0.571724769,0,17,0,42.884991,"Australia",0,0,0,0,1,0.3034,0.1856,1.63469827586207,0.491458246562332,2.69618002853172,4.61762233517733,4.91998092582813,0.255231591180004,NA,NA,NA,NA,NA,NA,NA,3.75852190457877,NA
"18","1995","Australia",0.5,0.5,0,0,0,0,"AUS",NA,NA,31.154,3.554094932,3,"4.626",8.472,"-1.202",1.187329238,3.863975748,NA,877.769,NA,NA,"Australia",30.1,46.1,"Australia","AUS",193,17976,494567,0.224856171,113.1573,-25196.94025,82673,71091,69707.37015,308981.7428,7.643807797,9.210895277,111.7152671,8.4693,118.4794431,31.123,114000,136000,1.342281879,302816.527,152596,181604,121213,335261,7.42962122,114.0153809,38.4082489,0,0,0,0,"FLOAT","USA",0,0.207230181,0.062609173,0.234386936,0.076438077,NA,NA,0.017098064,0.045511108,0.044746038,0.156895921,0.043508038,NA,NA,NA,0.09210895,0.050334271,0.104365431,0.098439388,0.15541251,"Australia",12.844,103.089,13.668,109.701,143,68.630828631,NA,NA,NA,NA,NA,NA,"","","","","","",0.73,1.29,0.107785591,0.051282487,0.056503104,0.136077833,0,18,0,40.262569,"Australia",0,0,0,0,1,0.3087,0.1847,1.67135896047645,0.513637044302919,2.55287677622727,4.63559269279934,4.96284463025991,0.199152483987732,NA,NA,NA,NA,NA,NA,NA,3.69542222840934,NA
"19","1996","Australia",0.62,0.34,0.28,0,0,1,"AUS",NA,NA,29.339,4.717174164,4,"2.653",8.514,"-0.907",1.20875617,3.913216347,NA,912.118,NA,NA,"Australia",30.4,46.4,"Australia","AUS",193,18195,527599,0.225900201,116.1134,-18418.25472,83543,77206,79444.47179,335354.3076,7.01642467,8.209207057,113.1769349,8.5062,121.4814009,29.317,126000,140000,1.255492639,332779.9595,168921,201208,131572,349232,6.691069603,116.4721298,39.11824036,0,0,0,0,"FLOAT","USA",0,0.143424705,0.058046397,0.150348902,0.070164248,NA,NA,0.013086873,0.044959523,0.044378743,0.09883482,0.040579237,NA,NA,NA,0.082092069,0.044589877,0.084282331,0.081465997,0.110256575,"Australia",14.228,109.33,14.86,114.182,149,74.587955548,NA,NA,NA,NA,NA,NA,"","","","","","",1.29,0.56,0.067329673,0.01085624,0.057057505,0.115567903,0,19,0.0885021246163158,54.955181,"Australia",0,0,0,1,7.4696,0.3094,0.1868,1.65631691648822,0.504596412344224,2.65521185408621,4.69437083144639,5.00394630594546,0.199227876549546,NA,NA,NA,NA,NA,NA,NA,4.0065179621193,NA
"20","1997","Australia",0.7,0.18,0.53,0,0,0,"AUS",NA,NA,25.907,5.825280899,4.7,"0.225",8.363,"-0.172",1.124757593,4.663212435,NA,954.652,NA,NA,"Australia",30.7,46.7,"Australia","AUS",193,18415,555291,0.239291594,116.374329,-16281.49141,88884,84775,90188.71165,356961.8623,5.290240917,6.954918544,116.6922459,8.3622,124.990211,25.908,131031,135928.2,1.532097418,366159.4058,183868,219638,146521,379541,6.12923571,114.8946686,40.98450369,0,0,0,0,"FLOAT","USA",0,0.11419186,0.071853958,0.174125612,0.052902408,NA,NA,0.031057548,0.04079641,0.039567541,0.072646372,0.038731758,NA,NA,NA,0.069549188,0.04154548,0.086425774,0.083960839,0.113514006,"Australia",16.18,122.534,16.654,126.121,152,79.594491165,NA,NA,NA,NA,NA,NA,"","","","","","",2.01,0.72,0.343018308,0.210834007,0.132274927,-0.170610974,0,20,0.367312294308947,50.623501,"Australia",0,0,0,0,9,0.3034,0.1854,1.63646170442287,0.492536413782677,2.78377591163035,4.80838854249503,5.02388052084628,0.209235585983911,NA,NA,NA,NA,NA,NA,NA,3.92441591511178,NA
"21","1998","Australia",0.37,0.05,0.32,0,0,0,"AUS",NA,NA,23.698,4.150508221,4.7,"0.859",7.684,"0.605",1.146034206,5.027695956,NA,1002.649,NA,NA,"Australia",31,47,"Australia","AUS",193,18621,588097,0.243844912,117.3745568,-28407.06774,102905,88989,95894.68243,384572.759,4.836814582,5.492970528,128.2686545,7.6756,128.8166195,23.754,136969,135784,1.628929767,401898.5166,202729,242467,159432,411830,5.892051213,116.6150513,40.58965176,0,0,0,0,"FLOAT","USA",0,0.084790267,0.13949877,0.135698617,0.048368145,NA,NA,0.099209882,0.040288888,0.036652587,0.045551464,0.037529293,NA,NA,NA,0.054929703,0.039238807,0.120885573,0.123137496,0.092033379,"Australia",15.674,129.716,16.59,137.297,158,72.989893509,100454.002005575,58181.3429061148,55088.6,54651.6339204298,68639.8593433705,100454.002005575,"6437.0024078823","5059.9482855548","47772.8132110045","16405.3262770027","20191.4188756269","9370.0954389289",2.98,0.97,0.110420616,0.069338841,0.041081775,-0.450154956,0,21,0,44.749908,"Australia",0,0,0,0,9,0.3107,0.182,1.70714285714286,0.534821129322206,2.75200328863067,4.86534744531768,5.06259503302697,0.227291741396422,NA,11.5174552102217,10.9166980771832,10.971320013703,11.1366286849664,10.9087343910613,11.5174552102217,3.80108938885283,NA
"22","1999","Australia",0.04,-0.04,0.07,0,0,0,"AUS",NA,NA,22.539,5.552071137,4.4,"1.408",6.869,"1.139",1.235887541,3.921511915,NA,1041.968,NA,NA,"Australia",31.3,47.4,"Australia","AUS",193,18830,620141,0.248638937,119.027107,-33767.15669,107154,86893,105347.3449,420189.2436,4.758449958,6.009311943,136.5855441,6.8723,131.842506,22.588,146444.1,140814.4,1.529519731,453447.4476,228489,274093,179355,429407,6.287264668,118.3173141,40.02180703,0,0,0,0,"FLOAT","USA",0,0.192953631,0.10246785,-0.068950593,0.0475845,NA,NA,0.064840294,0.037627552,0.035336334,0.152688175,0.034931786,NA,NA,NA,0.06009312,0.040265456,0.122588575,0.131855324,-0.010683047,"Australia",16.252,136.68,17.31,145.574,166,72.984709863,100490.061775821,63651.0435103586,57336.4,52979.3794629091,71759.7471338591,100490.061775821,"6089.7826515061","5234.4142646176","49362.9322389318","16446.9730273054","19580.7031652997","11072.6179788035",3.39,0.41,0.009090258,0.009090258,0.000346137,0.202548783,0,22,0.649108618971579,49.120831,"Australia",0,0,0,0,9,0.3115,0.1799,1.73151750972763,0.54899819727102,2.78821597812548,4.91764242724709,5.11198778835654,0.237172964481091,NA,11.5178141137888,10.9566909540691,11.061170998358,11.1810789729508,10.8776580500906,11.5178141137888,3.89428320144823,NA
